HostName,SerialNumber,OS,Brand,Model,isLaptop
BOG1-CH03-W,4C2L7X2,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-3145,3HMP7X2,Chrome,Acer,Chrome Acer,NO
BOG1-CA05-W,J6XXZV2,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-3192,1SSL423,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-4336,8CG8354XSB,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-4244,8CG8311VJW,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-4355,8CG8325DN1,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-4190,8CG8343K84,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-4360,8CG824B2TP,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-3476,4BWQ7X2,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-3237,16R1H63,Chrome,Acer,Chrome Acer,NO
BOG1-CI09-W,9J6Y7X2,Chrome,Acer,Chrome Acer,NO
BOG1-TR1-17,84W23W2,Chrome,Acer,Chrome Acer,NO
BOG1-TR1-06,85043W2,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-3684,G4VWRB3,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-3359,JSSL423,Chrome,Acer,Chrome Acer,NO